ICDO3.2	Level	Term
8574/3	Synonym	Carcinoma with neuroendocrine differentiation
8574/3	Synonym	Adenocarcinoma admixed with neuroendocrine carcinoma
8575/3	Preferred	Metaplastic carcinoma, NOS
8576/3	Preferred	Hepatoid adenocarcinoma
8576/3	Synonym	Hepatoid carcinoma
858	2	Thymic epithelial neoplasms
8580/0	Preferred	Microscopic thymoma
8580/0	Related	Thymoma, benign
8580/1	Preferred	Micronodular thymoma with lymphoid stroma
8580/3	Preferred	Thymoma, NOS
8580/3	Related	Intrapulmonary thymoma
8580/3	Related	Sclerosing thymoma
8580/3	Related	Metaplastic thymoma
8581/3	Preferred	Thymoma, type A
8581/3	Synonym	Thymoma, medullary
8581/3	Synonym	Thymoma, spindle cell
8582/3	Preferred	Thymoma, type AB
8582/3	Synonym	Thymoma, mixed type
8583/3	Preferred	Thymoma, type B1
8583/3	Synonym	Thymoma, lymphocyte-rich
8583/3	Synonym	Thymoma, lymphocytic
8583/3	Synonym	Thymoma, organoid
8583/3	Synonym	Thymoma, predominantly cortical
8584/3	Preferred	Thymoma, type B2
8584/3	Synonym	Thymoma, cortical
8585/3	Preferred	Thymoma, type B3
8585/3	Synonym	Thymoma, atypical
8585/3	Synonym	Thymoma, epithelial
8585/3	Synonym	Well differentiated thymic carcinoma
8586/3	Preferred	Thymic carcinoma, NOS
8586/3	Synonym	Thymoma, type C
8587/0	Preferred	Ectopic hamartomatous thymoma
8588/3	Preferred	Spindle epithelial tumor with thymus-like element
8588/3	Synonym	SETTLE
8588/3	Synonym	Spindle epithelial tumor with thymus-like differentiation
8589/3	Preferred	Intrathyroid thymic carcinoma
8589/3	Synonym	Carcinoma showing thymus-like element
8589/3	Synonym	Carcinoma showing thymus-like differentiation
8589/3	Synonym	CASTLE
859-867	2	Specialized gonadal neoplasms
8590/0	Preferred	Sex cord-stromal tumor, benign
8590/0	Related	Signet-ring stromal tumor
8590/0	Related	Microcystic stromal tumor
8590/1	Preferred	Sex cord-gonadal stromal tumor, NOS
8590/1	Synonym	Gonadal stromal tumor, NOS
8590/1	Synonym	Sex cord tumor, NOS
8590/1	Synonym	Sex cord-stromal tumor, NOS
8590/1	Synonym	Ovarian stromal tumor
8590/1	Synonym	Testicular stromal tumor
8590/1	Related	Uterine tumor resembling ovarian sex cord tumor
8591/1	Preferred	Sex cord-gonadal stromal tumor, incompletely differentiated
8591/1	Related	Sex cord-stromal tumor, unclassified
8592/1	Preferred	Sex cord-gonadal stromal tumor, mixed forms
8592/1	Synonym	Sex cord-gonadal stromal tumor, mixed
8593/1	Preferred	Stromal tumor with minor sex cord elements
8594/1	Preferred	Mixed germ cell-sex cord-stromal tumor, NOS
8594/1	Related	Mixed germ cell-sex cord-stromal tumor, unclassified
8600/0	Preferred	Thecoma, NOS
8600/0	Synonym	Theca cell tumor
8600/3	Preferred	Thecoma, malignant
8601/0	Preferred	Thecoma, luteinized
8602/0	Preferred	Sclerosing stromal tumor
8610/0	Preferred	Luteoma, NOS
8610/0	Synonym	Luteinoma
8620/1	Preferred	Adult granulosa cell tumor of testis
8620/1	Synonym	Granulosa cell tumor of testis, NOS
8620/3	Preferred	Adult granulosa cell tumor of ovary
8620/3	Related	Granulosa cell tumor, adult type
8620/3	Related	Granulosa cell carcinoma
8620/3	Related	Granulosa cell tumor, sarcomatoid
8621/1	Preferred	Granulosa cell-theca cell tumor
8621/1	Synonym	Theca cell-granulosa cell tumor
8622/0	Preferred	Granulosa cell tumor of testis, juvenile
8622/1	Preferred	Granulosa cell tumor, juvenile (except of testis M-8622/0)
8623/1	Preferred	Sex cord tumor with annular tubules
8630/0	Preferred	Androblastoma, benign
8630/0	Synonym	Arrhenoblastoma, benign
8630/1	Preferred	Androblastoma, NOS
8630/1	Synonym	Arrhenoblastoma, NOS
8630/3	Preferred	Androblastoma, malignant
8630/3	Synonym	Arrhenoblastoma, malignant
8631/0	Preferred	Sertoli-Leydig cell tumor, well differentiated
8631/1	Preferred	Sertoli-Leydig cell tumor of intermediate differentiation, NOS
8631/1	Synonym	Sertoli-Leydig cell tumor, moderately differentiated
8631/1	Related	Sertoli-Leydig cell tumor, NOS
8631/3	Preferred	Sertoli-Leydig cell tumor, poorly differentiated
8631/3	Related	Sertoli-Leydig cell tumor, sarcomatoid
8632/1	Preferred	Gynandroblastoma
8633/1	Preferred	Sertoli-Leydig cell tumor, retiform
8634/1	Preferred	Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements
8634/1	Synonym	Sertoli-Leydig cell tumor, moderately differentiated, with heterologous elements
8634/1	Related	Sertoli-Leydig cell tumor, retiform, with heterologous elements
8634/3	Preferred	Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements
8640/1	Preferred	Sertoli cell tumor, NOS
8640/1	Synonym	Tubular androblastoma, NOS
8640/1	Synonym	Pick tubular adenoma
8640/1	Synonym	Sertoli cell adenoma
8640/1	Synonym	Testicular adenoma
8640/3	Preferred	Sertoli cell carcinoma
8641/0	Preferred	Sertoli cell tumor with lipid storage
8641/0	Synonym	Folliculome lipidique
8641/0	Synonym	Lipid-rich Sertoli cell tumor
8641/0	Synonym	Tubular androblastoma with lipid storage
8642/1	Preferred	Large cell calcifying Sertoli cell tumor
8643/1	Preferred	Intratubular large cell hyalinizing Sertoli cell neoplasia
8650/0	Preferred	Leydig cell tumor of ovary, NOS
8650/1	Preferred	Leydig cell tumor of testis, NOS
8650/1	Synonym	Interstitial cell tumor, NOS
8650/3	Preferred	Leydig cell tumor, malignant
8650/3	Synonym	Interstitial cell tumor, malignant
8660/0	Preferred	Hilus cell tumor
8660/0	Synonym	Hilar cell tumor
8670/0	Preferred	Lipid cell tumor of ovary
8670/0	Synonym	Steroid cell tumor, NOS
8670/0	Synonym	Lipoid cell tumor of ovary
8670/0	Related	Masculinovoblastoma
8670/3	Preferred	Steroid cell tumor, malignant
8671/0	Preferred	Adrenal rest tumor
868-871	2	Paragangliomas and glomus tumors
8680/3	Preferred	Paraganglioma, NOS
8681/3	Preferred	Sympathetic paraganglioma
8682/3	Preferred	Parasympathetic paraganglioma
8683/0	Preferred	Gangliocytic paraganglioma
8690/3	Preferred	Middle ear paraganglioma
8690/3	Synonym	Glomus jugulare tumor, NOS
8690/3	Synonym	Jugular paraganglioma
8690/3	Synonym	Jugulotympanic paraganglioma
8691/3	Preferred	Aortic body tumor
8691/3	Synonym	Aortic body paraganglioma
8691/3	Synonym	Aorticopulmonary paraganglioma
8692/3	Preferred	Carotid body paraganglioma
8692/3	Synonym	Carotid body tumor
8693/3	Preferred	Extra-adrenal paraganglioma, NOS
8693/3	Related	Nonchromaffin paraganglioma, NOS
8693/3	Related	Laryngeal paraganglioma
8693/3	Related	Vagal paraganglioma
8693/3	Related	Chemodectoma
8693/3	Related	Composite paraganglioma
8700/3	Preferred	Pheochromocytoma, NOS
8700/3	Synonym	Adrenal medullary paraganglioma
8700/3	Synonym	Chromaffin paraganglioma
8700/3	Synonym	Chromaffin tumor
8700/3	Synonym	Chromaffinoma
8700/3	Related	Composite pheochromocytoma
8700/3	Synonym	Pheochromoblastoma
8710/3	Preferred	Glomangiosarcoma
8710/3	Synonym	Glomoid sarcoma
8711/0	Preferred	Glomus tumor, NOS
8711/1	Preferred	Glomangiomatosis
8711/1	Related	Glomus tumor of uncertain malignant potential
8711/3	Preferred	Glomus tumor, malignant
8712/0	Preferred	Glomangioma
8713/0	Preferred	Glomangiomyoma
8714/0	Preferred	Perivascular epithelioid tumor, benign
8714/0	Synonym	PEComa, benign
8714/3	Preferred	Perivascular epithelioid tumor, malignant
8714/3	Synonym	PEComa, malignant
872-879	2	Nevi and melanomas
8720/0	Preferred	Pigmented nevus, NOS
8720/0	Synonym	Nevus, NOS
8720/0	Synonym	Melanocytic nevus, NOS
8720/0	Related	Hairy nevus
8720/0	Related	Nevus spilus
8720/0	Related	Meyerson nevus
8720/0	Related	Deep penetrating nevus
8720/0	Related	Combined nevus
8720/0	Related	Genital nevus
8720/0	Related	Conjunctival nevus
8720/2	Preferred	Melanoma in situ
8720/3	Preferred	Malignant melanoma, NOS (except of soft parts M-9044/3)
8720/3	Synonym	Melanoma, NOS
8720/3	Related	Nevoid melanoma
8720/3	Related	Melanoma, meningeal
8721/3	Preferred	Nodular melanoma
8722/0	Preferred	Balloon cell nevus
8722/3	Preferred	Balloon cell melanoma
8723/0	Preferred	Halo nevus
8723/0	Synonym	Regressing nevus
8723/3	Preferred	Malignant melanoma, regressing
8725/0	Preferred	Neuronevus
8726/0	Preferred	Magnocellular nevus
8726/0	Synonym	Melanocytoma, eyeball
8726/0	Related	Melanocytoma, NOS (see also M-8780/1)
8727/0	Preferred	Dysplastic nevus
8728/0	Preferred	Meningeal melanocytosis
8728/0	Related	Diffuse melanocytosis
8728/1	Preferred	Meningeal melanocytoma
8728/3	Preferred	Meningeal melanomatosis
8730/0	Preferred	Nonpigmented nevus
8730/0	Synonym	Achromic nevus
8730/3	Preferred	Amelanotic melanoma
8740/0	Preferred	Junctional nevus, NOS
8740/0	Synonym	Intraepidermal nevus
8740/0	Synonym	Junction nevus
8740/3	Preferred	Malignant melanoma in junctional nevus
8741/2	Preferred	Precancerous melanosis, NOS
8741/3	Preferred	Malignant melanoma in precancerous melanosis
8742/0	Preferred	Lentiginous melanocytic nevus
8742/0	Related	Simple lentigo
8742/0	Synonym	Lentigo simplex
8742/2	Preferred	Lentigo maligna
8742/2	Synonym	Hutchinson melanotic freckle, NOS
8742/3	Preferred	Lentigo maligna melanoma
8742/3	Synonym	Malignant melanoma in Hutchinson melanotic freckle
8743/3	Preferred	Low cumulative sun damage melanoma
8743/3	Related	Superficial spreading melanoma
8744/0	Preferred	Acral nevus
8744/3	Preferred	Acral melanoma
8744/3	Synonym	Acral lentiginous melanoma, malignant
8745/3	Preferred	Desmoplastic melanoma, NOS
8745/3	Related	Desmoplastic melanoma, amelanotic
8745/3	Related	Neurotropic melanoma, malignant
8746/3	Preferred	Mucosal lentiginous melanoma
8750/0	Preferred	Dermal nevus
8750/0	Synonym	Intradermal nevus
8750/0	Synonym	Stromal nevus
8760/0	Preferred	Compound nevus
8760/0	Synonym	Dermal and epidermal nevus
8761/0	Preferred	Congenital melanocytic nevus, NOS
8761/1	Preferred	Giant pigmented nevus, NOS
8761/1	Related	Intermediate and giant congenital nevus
8761/3	Preferred	Malignant melanoma arising in giant congenital nevus
8761/3	Synonym	Malignant melanoma in giant pigmented nevus
8761/3	Synonym	Malignant melanoma in congenital melanocytic nevus
8762/1	Preferred	Proliferative dermal lesion in congenital nevus
8762/1	Synonym	Proliferative nodule in congenital melanocytic nevus
8770/0	Preferred	Epithelioid and spindle cell nevus
8770/0	Synonym	Juvenile melanoma
8770/0	Synonym	Juvenile nevus
8770/0	Synonym	Spitz nevus, NOS
8770/0	Related	Spitz nevus, atypical
8770/0	Related	Pigmented spindle cell nevus of Reed
8770/0	Synonym	Pigmented spindle cell Spitz nevus
8770/3	Preferred	Malignant Spitz tumor
8770/3	Related	Mixed epithelioid and spindle cell melanoma
8770/3	Synonym	Spitz melanoma
8770/3	Synonym	Spitzoid melanoma
8771/0	Preferred	Epithelioid cell nevus
8771/3	Preferred	Epithelioid cell melanoma
8772/0	Preferred	Spindle cell nevus, NOS
8772/3	Preferred	Spindle cell melanoma, NOS
8773/3	Preferred	Spindle cell melanoma, type A
8774/3	Preferred	Spindle cell melanoma, type B
8780/0	Preferred	Blue nevus, NOS
8780/0	Synonym	Jadassohn blue nevus
8780/1	Preferred	Pigmented epithelioid melanocytoma
8780/1	Synonym	Blue nevus, epithelioid
8780/3	Preferred	Blue nevus, malignant
8780/3	Synonym	Melanoma arising in blue nevus
8790/0	Preferred	Cellular blue nevus
880	2	Soft tissue tumors and sarcomas, NOS
8800/0	Preferred	Soft tissue tumor, benign
8800/3	Preferred	Sarcoma, NOS
8800/3	Synonym	Mesenchymal tumor, malignant
8800/3	Synonym	Soft tissue sarcoma
8800/3	Synonym	Soft tissue tumor, malignant
8800/9	Preferred	Sarcomatosis, NOS
8801/3	Preferred	Spindle cell sarcoma
8801/3	Synonym	Spindle cell sarcoma, undifferentiated
8802/1	Preferred	Pleomorphic hyalinizing angiectatic tumor
8802/3	Preferred	Giant cell sarcoma (except of bone M-9250/3)
8802/3	Synonym	Pleomorphic cell sarcoma, NOS
8802/3	Synonym	Pleomorphic cell sarcoma, undifferentiated
8802/3	Synonym	Pleomorphic sarcoma
8802/3	Related	Pleomorphic dermal sarcoma
8803/3	Preferred	Small cell sarcoma
8803/3	Synonym	Round cell sarcoma, NOS
8803/3	Synonym	Round cell sarcoma, undifferentiated
8804/3	Preferred	Epithelioid sarcoma, NOS
8804/3	Synonym	Epithelioid cell sarcoma
8804/3	Related	Epithelioid sarcoma, undifferentiated
8805/3	Preferred	Undifferentiated sarcoma
8806/3	Preferred	Desmoplastic small round cell tumor
881-883	2	Fibromatous neoplasms
8810/0	Preferred	Fibroma, NOS (except of tendon sheath M-8813/0)
8810/0	Related	Desmoplastic fibroblastoma
8810/0	Related	Gardner fibroma
8810/0	Related	Nuchal fibroma
8810/0	Related	Collagenous fibroma
8810/0	Related	Plaque-like CD34 positive dermal fibroma
8810/1	Preferred	Cellular fibroma
8810/3	Preferred	Fibrosarcoma, NOS
8811/0	Preferred	Fibromyxoma, NOS
8811/0	Synonym	Myxofibroma, NOS
8811/0	Synonym	Myxoid fibroma
8811/0	Related	Plexiform fibromyxoma
8811/0	Related	Acral fibromyxoma
8811/1	Preferred	Myxoinflammatory fibroblastic sarcoma
8811/1	Related	Atypical myxoinflammatory fibroblastic tumor
8811/1	Related	Hemosiderotic fibrolipomatous tumor
8811/3	Preferred	Myxofibrosarcoma
8811/3	Related	Fibromyxosarcoma
8812/0	Preferred	Periosteal fibroma
8812/3	Preferred	Periosteal fibrosarcoma
8812/3	Related	Periosteal sarcoma, NOS
8813/0	Preferred	Fibroma of tendon sheath
8813/0	Related	Fascial fibroma
8813/1	Preferred	Palmar/plantar type fibromatosis
8813/1	Synonym	Superficial fibromatosis
8813/3	Preferred	Fascial fibrosarcoma
8814/3	Preferred	Infantile fibrosarcoma
8814/3	Synonym	Congenital fibrosarcoma
8815/0	Preferred	Solitary fibrous tumor/Hemangiopericytoma, grade 1
8815/0	Synonym	Hemangiopericytoma, benign
8815/1	Preferred	Solitary fibrous tumor, NOS
8815/1	Synonym	Hemangiopericytoma, NOS
8815/1	Synonym	Localized fibrous tumor
8815/1	Related	Solitary fibrous tumor/Hemangiopericytoma, grade 2
8815/1	Related	Hemangiopericytic meningioma
8815/3	Preferred	Solitary fibrous tumor, malignant
8815/3	Related	Solitary fibrous tumor/Hemangiopericytoma, grade 3
8815/3	Synonym	Hemangiopericytoma, malignant
8816/0	Preferred	Calcifying aponeurotic fibroma
8817/0	Preferred	Calcifying fibrous tumor
8818/0	Preferred	Fibrous dysplasia
8820/0	Preferred	Elastofibroma
8821/1	Preferred	Aggressive fibromatosis
8821/1	Synonym	Desmoid type fibromatosis
8821/1	Synonym	Desmoid, NOS
8821/1	Synonym	Desmoid tumor, NOS
8821/1	Synonym	Extra-abdominal desmoid
8821/1	Synonym	Invasive fibroma
8822/1	Preferred	Abdominal fibromatosis
8822/1	Synonym	Abdominal desmoid
8822/1	Synonym	Mesenteric fibromatosis
8822/1	Synonym	Retroperitoneal fibromatosis
8823/0	Preferred	Sclerotic fibroma
8823/1	Preferred	Desmoplastic fibroma
8824/0	Preferred	Myofibroma
8824/0	Related	Dermatomyofibroma
8824/0	Related	Myopericytoma
8824/1	Preferred	Myofibromatosis
8824/1	Related	Congenital generalized fibromatosis
8824/1	Synonym	Infantile myofibromatosis
8825/0	Preferred	Myofibroblastoma
8825/1	Preferred	Myofibroblastic tumor, NOS
8825/1	Synonym	Inflammatory myofibroblastic tumor
8825/3	Preferred	Myofibroblastic sarcoma
8826/0	Preferred	Angiomyofibroblastoma
8827/1	Preferred	Myofibroblastic tumor, peribronchial
8827/1	Synonym	Congenital peribronchial myofibroblastic tumor
8828/0	Preferred	Nodular fasciitis
8828/0	Related	Proliferative fasciitis
8828/0	Related	Proliferative myositis
8830/0	Preferred	Benign fibrous histiocytoma, NOS
8830/0	Synonym	Fibrous histiocytoma, NOS (except of tendon sheath M-9252/0)
8830/0	Synonym	Fibroxanthoma, NOS
8830/0	Synonym	Xanthofibroma
8830/0	Related	Epithelioid fibrous histiocytoma
8830/1	Preferred	Atypical fibrous histiocytoma
8830/1	Synonym	Atypical fibroxanthoma
8830/3	Preferred	Malignant fibrous histiocytoma
8830/3	Synonym	Undifferentiated high grade pleomorphic sarcoma of bone
8830/3	Synonym	Fibroxanthoma, malignant
8831/0	Preferred	Histiocytoma, NOS
8831/0	Related	Deep histiocytoma
8831/0	Synonym	Deep benign fibrous histiocytoma
8831/0	Related	Juvenile histiocytoma
8831/0	Related	Reticulohistiocytoma
8831/0	Synonym	Reticulohistocytosis
8832/0	Preferred	Dermatofibroma, NOS
8832/0	Synonym	Cutaneous histiocytoma, NOS
8832/0	Synonym	Dermatofibroma lenticulare
8832/0	Synonym	Sclerosing hemangioma
8832/0	Synonym	Subepidermal nodular fibrosis
8832/0	Related	Sclerosing pneumocytoma
8832/0	Related	Pleomorphic fibroma
8832/1	Preferred	Dermatofibrosarcoma protuberans, NOS
8832/1	Synonym	Dermatofibrosarcoma, NOS
8832/3	Preferred	Dermatofibrosarcoma protuberans, fibrosarcomatous
8832/3	Synonym	Dermatofibrosarcoma, sarcomatous
8833/1	Preferred	Pigmented dermatofibrosarcoma protuberans
8833/1	Synonym	Bednar tumor
8834/1	Preferred	Giant cell fibroblastoma
8835/1	Preferred	Plexiform fibrohistiocytic tumor
8836/1	Preferred	Angiomatoid fibrous histiocytoma
884	2	Myxomatous neoplasms
8840/0	Preferred	Myxoma, NOS
8840/3	Preferred	Myxosarcoma
8840/3	Related	Low grade fibromyxoid sarcoma
8840/3	Related	Sclerosing epithelioid fibrosarcoma
8841/0	Preferred	Angiomyxoma, NOS
8841/0	Related	Aggressive angiomyxoma
8841/0	Related	Superficial angiomyxoma
8842/0	Preferred	Ossifying fibromyxoid tumor, NOS
8842/3	Preferred	Ossifying fibromyxoid tumor, malignant
8842/3	Related	Pulmonary myxoid sarcoma with EWSR1-CREB1 translocation
885-888	2	Lipomatous neoplasms
8850/0	Preferred	Lipoma, NOS
8850/0	Related	Thymolipoma
8850/1	Preferred	Atypical lipomatous tumor
8850/1	Synonym	Atypical lipoma
8850/1	Synonym	Liposarcoma, well differentiated, superficial
8850/3	Preferred	Liposarcoma, NOS
8850/3	Synonym	Fibroliposarcoma
8851/0	Preferred	Fibrolipoma
8851/1	Preferred	Lipofibromatosis
8851/3	Preferred	Liposarcoma, well differentiated, NOS
8851/3	Synonym	Lipoma-like liposarcoma
8851/3	Synonym	Liposarcoma, differentiated
8851/3	Related	Inflammatory liposarcoma
8851/3	Related	Sclerosing liposarcoma
8852/0	Preferred	Fibromyxolipoma
8852/0	Synonym	Myxolipoma
8852/3	Preferred	Myxoid liposarcoma
8852/3	Synonym	Myxoliposarcoma
8853/3	Preferred	Round cell liposarcoma (see also M-8852/3)
8854/0	Preferred	Pleomorphic lipoma
8854/3	Preferred	Pleomorphic liposarcoma
8855/3	Preferred	Mixed liposarcoma
8856/0	Preferred	Intramuscular lipoma
8856/0	Related	Infiltrating angiolipoma
8856/0	Related	Infiltrating lipoma
8857/0	Preferred	Spindle cell lipoma
8857/3	Preferred	Fibroblastic liposarcoma
8858/3	Preferred	Dedifferentiated liposarcoma
8860/0	Preferred	Angiomyolipoma
8860/1	Preferred	Angiomyolipoma, epithelioid
8861/0	Preferred	Angiolipoma, NOS
8862/0	Preferred	Chondroid lipoma
8870/0	Preferred	Myelolipoma
8880/0	Preferred	Hibernoma
8880/0	Synonym	Brown fat tumor
8880/0	Synonym	Fetal fat cell lipoma
8881/0	Preferred	Lipoblastomatosis
8881/0	Synonym	Fetal lipoma, NOS
8881/0	Synonym	Fetal lipomatosis
8881/0	Synonym	Lipoblastoma
889-892	2	Myomatous neoplasms
8890/0	Preferred	Leiomyoma, NOS
8890/0	Synonym	Fibroid uterus
8890/0	Synonym	Fibromyoma
8890/0	Synonym	Leiomyofibroma
8890/0	Related	Lipoleiomyoma
8890/0	Synonym	Lipomatous leiomyoma
8890/0	Related	Plexiform leiomyoma
8890/0	Related	Leiomyoma, apoplectic
8890/0	Related	Leiomyoma, hydropic
8890/0	Related	Myolipoma
8890/0	Related	Cotyledonoid leiomyoma
8890/0	Synonym	Dissecting leiomyoma
8890/1	Preferred	Leiomyomatosis, NOS
8890/1	Related	Leiomyomatosis, peritonealis disseminata
8890/1	Related	Intravascular leiomyomatosis
8890/1	Synonym	Intravenous leiomyomatosis
8890/3	Preferred	Leiomyosarcoma, NOS
8891/0	Preferred	Epithelioid leiomyoma
8891/0	Synonym	Leiomyoblastoma
8891/3	Preferred	Epithelioid leiomyosarcoma
8892/0	Preferred	Cellular leiomyoma
8893/0	Preferred	Bizarre leiomyoma
8893/0	Synonym	Atypical leiomyoma
8893/0	Synonym	Pleomorphic leiomyoma
8893/0	Synonym	Symplastic leiomyoma
8894/0	Preferred	Angioleiomyoma
8894/0	Synonym	Angiomyoma
8894/0	Synonym	Vascular leiomyoma
8894/3	Preferred	Angiomyosarcoma
8895/0	Preferred	Myoma
8895/3	Preferred	Myosarcoma
8896/0	Preferred	Myxoid leiomyoma
8896/3	Preferred	Myxoid leiomyosarcoma
8897/1	Preferred	Smooth muscle tumor of uncertain malignant potential
8897/1	Synonym	Smooth muscle tumor, atypical
8897/1	Related	Smooth muscle tumor, NOS
8897/1	Related	Leiomyosarcoma, cutaneous
8898/1	Preferred	Metastasizing leiomyoma
8900/0	Preferred	Rhabdomyoma, NOS
8900/3	Preferred	Rhabdomyosarcoma, NOS
8900/3	Synonym	Rhabdosarcoma
8901/3	Preferred	Pleomorphic rhabdomyosarcoma, adult type
8901/3	Related	Pleomorphic rhabdomyosarcoma, NOS
8901/3	Synonym	Rhabdomyosarcoma, pleomorphic type
8902/3	Preferred	Mixed type rhabdomyosarcoma
8902/3	Related	Mixed embryonal rhabdomyosarcoma and alveolar rhabdomyosarcoma
8903/0	Preferred	Fetal rhabdomyoma
8904/0	Preferred	Adult cellular rhabdomyoma
8904/0	Synonym	Adult rhabdomyoma
8904/0	Related	Glycogenic rhabdomyoma
8905/0	Preferred	Genital rhabdomyoma
8910/3	Preferred	Embryonal rhabdomyosarcoma, NOS
8910/3	Synonym	Rhabdomyosarcoma, embryonal type
8910/3	Related	Embryonal rhabdomyosarcoma, pleomorphic
8910/3	Related	Sarcoma botryoides
8910/3	Synonym	Botryoid sarcoma
8912/3	Preferred	Spindle cell rhabdomyosarcoma
8912/3	Synonym	Sclerosing rhabdomyosarcoma
8912/3	Synonym	Rhabdomyosarcoma, spindle cell/sclerosing type
8920/3	Preferred	Alveolar rhabdomyosarcoma
8921/3	Preferred	Ectomesenchymoma
8921/3	Synonym	Rhabdomyosarcoma with ganglionic differentiation
893-899	2	Complex mixed and stromal neoplasms
8930/0	Preferred	Endometrial stromal nodule
8930/3	Preferred	Endometrial stromal sarcoma, NOS
8930/3	Synonym	Endometrial sarcoma, NOS
8930/3	Related	Endometrial stromal sarcoma, high grade
8930/3	Synonym	Endometrioid stromal sarcoma, high grade
8931/3	Preferred	Endometrial stromal sarcoma, low grade
8931/3	Synonym	Endolymphatic stromal myosis
8931/3	Synonym	Endometrioid stromal sarcoma, low grade
8931/3	Synonym	Endometrial stromatosis
8931/3	Synonym	Stromal endometriosis
8931/3	Synonym	Stromal myosis, NOS
8932/0	Preferred	Adenomyoma, NOS
8932/0	Related	Atypical polypoid adenomyoma
8933/3	Preferred	Adenosarcoma
8934/3	Preferred	Carcinofibroma
8935/0	Preferred	Stromal tumor, benign
8935/1	Preferred	Stromal tumor, NOS
8935/1	Related	Metanephric stromal tumor
8935/1	Related	Stromal tumor of uncertain malignant potential
8935/3	Preferred	Stromal sarcoma, NOS
8936/3	Preferred	Gastrointestinal stromal tumor
8936/3	Synonym	GIST
8936/3	Synonym	Gastrointestinal stromal sarcoma
8936/3	Related	Gastrointestinal autonomic nerve tumor
8936/3	Synonym	GANT
8936/3	Related	Gastrointestinal pacemaker cell tumor
8940/0	Preferred	Pleomorphic adenoma
8940/0	Synonym	Mixed tumor, NOS
8940/0	Synonym	Mixed tumor, salivary gland type, NOS
8940/0	Related	Chondroid syringoma, NOS
8940/3	Preferred	Mixed tumor, malignant, NOS
8940/3	Synonym	Mixed tumor, salivary gland type, malignant
8940/3	Related	Malignant chondroid syringoma
8941/3	Preferred	Carcinoma ex pleomorphic adenoma
8941/3	Synonym	Carcinoma in pleomorphic adenoma
8950/3	Preferred	Mullerian mixed tumor
8951/3	Preferred	Mesodermal mixed tumor
8959/0	Preferred	Benign cystic nephroma
8959/0	Related	Mixed epithelial and stromal tumor
8959/0	Related	Pediatric cystic nephroma
8959/0	Related	Adult cystic nephroma
8959/1	Preferred	Cystic partially differentiated nephroblastoma
8959/3	Preferred	Malignant cystic nephroma
8959/3	Synonym	Malignant multilocular cystic nephroma
8960/1	Preferred	Mesoblastic nephroma
8960/3	Preferred	Nephroblastoma, NOS
8960/3	Synonym	Nephroma, NOS
8960/3	Synonym	Wilms tumor
8963/3	Preferred	Rhabdoid tumor, NOS
8963/3	Synonym	Malignant rhabdoid tumor
8963/3	Synonym	Rhabdoid sarcoma
8964/3	Preferred	Clear cell sarcoma of kidney
8966/0	Preferred	Renomedullary interstitial cell tumor
8966/0	Synonym	Renomedullary fibroma
8966/0	Synonym	Medullary fibroma
8967/0	Preferred	Ossifying renal tumor
8970/3	Preferred	Hepatoblastoma, NOS
8970/3	Synonym	Embryonal hepatoma
8970/3	Related	Hepatoblastoma, epithelioid
8970/3	Related	Hepatoblastoma, mixed epithelial-mesenchymal
8971/3	Preferred	Pancreatoblastoma
8972/3	Preferred	Pulmonary blastoma
8972/3	Synonym	Pneumoblastoma
8973/3	Preferred	Pleuropulmonary blastoma
8974/1	Preferred	Sialoblastoma
8975/1	Preferred	Calcifying nested stromal-epithelial tumor
8980/3	Preferred	Carcinosarcoma, NOS
8981/3	Preferred	Carcinosarcoma, embryonal
8982/0	Preferred	Myoepithelioma, NOS
8982/0	Synonym	Myoepithelial adenoma
8982/0	Synonym	Myoepithelial tumor
8982/0	Synonym	Ectomesenchymal chondromyxoid tumor
8982/3	Preferred	Myoepithelial carcinoma
8982/3	Synonym	Malignant myoepithelioma
8982/3	Synonym	Myoepithelioma, infiltrating
8983/0	Preferred	Adenomyoepithelioma, NOS
8983/0	Related	Adenomyoepithelioma, benign
8983/3	Preferred	Adenomyoepithelioma with carcinoma
8983/3	Synonym	Malignant adenomyoepithelioma
8990/0	Preferred	Mesenchymoma, benign
8990/0	Related	Phosphaturic mesenchymal tumor, benign
8990/0	Synonym	Phosphaturic mesenchymal tumor, NOS
8990/1	Preferred	Mesenchymoma, NOS
8990/1	Synonym	Mixed mesenchymal tumor
8990/1	Related	Primitive non-neural granular cell tumor
8990/3	Preferred	Mesenchymoma, malignant
8990/3	Synonym	Mixed mesenchymal sarcoma
8990/3	Related	Phosphaturic mesenchymal tumor, malignant
8991/3	Preferred	Embryonal sarcoma
8992/0	Preferred	Pulmonary hamartoma
900-903	2	Fibroepithelial neoplasms
9000/0	Preferred	Brenner tumor, NOS
9000/1	Preferred	Brenner tumor, borderline malignancy
9000/1	Synonym	Borderline Brenner tumor
9000/1	Synonym	Brenner tumor, atypical proliferative
9000/1	Synonym	Brenner tumor, proliferating
9000/3	Preferred	Brenner tumor, malignant
9010/0	Preferred	Fibroadenoma, NOS
9010/0	Related	Lipofibroadenoma
9011/0	Preferred	Intracanalicular fibroadenoma
